Група,Пол,Брачен статус,Тежина,Бодови
02 - Податоци за семејството (# 0.50 ),Машко (# 1.00),Неженет/Немажена (# 2.00),2.00,1.00
02 - Податоци за семејството (# 0.50 ),Машко (# 1.00),Во брак (# 8.00),8.00,1.00
02 - Податоци за семејството (# 0.50 ),Машко (# 1.00),Вдовец/Вдовица (# 8.00),8.00,1.00
02 - Податоци за семејството (# 0.50 ),Машко (# 1.00),Разведен/Разведенa (# 1.00),1.00,1.00
02 - Податоци за семејството (# 0.50 ),Женско (# 1.00),Неженет/Немажена (# 2.00),2.00,1.00
02 - Податоци за семејството (# 0.50 ),Женско (# 1.00),Во брак (# 8.00),8.00,1.00
02 - Податоци за семејството (# 0.50 ),Женско (# 1.00),Вдовец/Вдовица (# 8.00),8.00,1.00
02 - Податоци за семејството (# 0.50 ),Женско (# 1.00),Разведен/Разведенa (# 1.00),1.00,1.00
